symbol,timeframe,slice_combination,sample_count,mean_fwd_ret_5,side,tradeable_mean_fwd_ret_5,win_rate,mean_mfe_5,mean_mae_5,fwd_ret_ratio,research_shard_id
AMC,15m,state_vix=vix_low + state_breadth=breadth_weak + state_ext=stretched_up,31,0.0252427577938103,long,0.0252427577938103,0.6129032258064516,0.0413202058250391,-0.0088563117985203,0.5185936217245257,15m-00
AMD,15m,state_vix=vix_high + state_session=afternoon + state_ext=stretched_up,19,0.0177509971323285,long,0.0177509971323285,0.7894736842105263,0.0268326150479895,-0.0052686552648187,0.7916807642194408,15m-00
ABT,15m,state_vix=vix_high + state_breadth=breadth_strong + state_ext=neutral,26,-0.0151518301667428,short,0.0151518301667428,0.4230769230769231,0.0013102006232481,-0.028125211486835,-0.4769724263724407,15m-00
AMD,15m,state_gap_open=gap_open_down + state_relvol=relvol_normal + state_ext=stretched_down,20,0.0150856534191558,long,0.0150856534191558,0.7,0.0238430161629368,-0.0093648171364511,0.6582340997689162,15m-00
AMD,15m,state_gap_open=gap_open_down + state_ext=stretched_down,26,0.0138878907357675,long,0.0138878907357675,0.6923076923076923,0.0237115790103882,-0.0091686068287665,0.6147059906129871,15m-00
AFRM,15m,state_session=afternoon + state_ext=stretched_up + state_slope=flat,18,-0.0135048419074154,short,0.0135048419074154,0.2777777777777778,0.0105245818793063,-0.0269550050689379,-0.4870518497354553,15m-00
AA,15m,state_vix=vix_high + state_session=afternoon + state_ext=stretched_down,15,0.0134475890484965,long,0.0134475890484965,0.4666666666666667,0.021549846062104,-0.0097956778985724,0.4234917861481807,15m-00
AMAT,15m,state_vix=vix_low + state_session=afternoon + state_ext=stretched_up,31,-0.0131021855221943,short,0.0131021855221943,0.2258064516129032,0.0022205073554126,-0.0190725791457734,-0.6088188414458078,15m-00
AMC,15m,state_volume=vol_normal + state_ext=stretched_up + state_slope=flat,24,-0.0125806857072557,short,0.0125806857072557,0.25,0.0103490140793647,-0.0217938374416406,-0.5687737290688977,15m-00
AMC,15m,cross_USO_state_ext=stretched_up + cross_TLT_state_slope=uptrend + state_ext=stretched_up,23,0.0121758573969913,long,0.0121758573969913,0.6521739130434783,0.0282602184264107,-0.0122214901640408,0.4501371323425024,15m-00
ARKG,15m,state_vix=vix_mid + state_session=afternoon + state_ext=stretched_down,44,0.0119550710560916,long,0.0119550710560916,0.6818181818181818,0.0182112041046554,-0.0051130746669522,0.7168381547661725,15m-00
AA,15m,cross_USO_state_slope=flat + cross_TLT_state_slope=uptrend + state_ext=stretched_down,30,0.0119216620151539,long,0.0119216620151539,0.8333333333333334,0.0179063103967429,-0.0043228428582957,0.8463822528416716,15m-00
AMC,15m,cross_USO_state_ext=stretched_up + cross_TLT_state_slope=flat + state_ext=stretched_up,35,-0.0118485147781384,short,0.0118485147781384,0.2,0.0112323967634116,-0.0278707389971507,-0.583325381975219,15m-00
AMC,15m,state_ext=stretched_down + state_slope=flat + state_vol=mid_vol,35,0.0108533661537347,long,0.0108533661537347,0.6285714285714286,0.0268507760159506,-0.0088492584898863,0.3859239824870377,15m-00
