symbol,timeframe,slice_combination,side,bin_mode,all_regime_status,strict_gate_pass,overall_regime_status,best_regime,best_regime_mean_ret_costadj,best_regime_p_value_nw,bull_status,bear_status,neutral_status,valid_mean_ret_costadj,valid_p_value_nw,walk_forward_pass_pattern,search_wide_bh_pass,search_wide_bonferroni_pass
FUT/NQ,1h,state_ext=stretched_up + state_slope=uptrend,long,rolling,research_only,False,neutral_regime_candidate,neutral,0.0028094176251581286,0.0008272642758726523,regime_switching_research_only,unsupported,neutral_regime_candidate,0.0027849261412292,0.0099730240301123,1,False,False
FUT/CL,1h,state_session=lunch + state_ext=stretched_up,long,rolling,research_only,False,regime_switching_research_only,bull,0.012805106765917423,0.10499031540094839,regime_switching_research_only,unsupported,regime_switching_research_only,0.008518343447335,0.0186704521002947,1,False,False
FUT/CL,1h,state_session=lunch + state_slope=flat,long,rolling,research_only,False,regime_switching_research_only,neutral,0.00724447432536005,0.04360110456133848,regime_switching_research_only,regime_switching_research_only,regime_switching_research_only,0.0103003918374443,0.1104846133103449,0,False,False
FUT/CL,1h,state_session=lunch + state_ext=stretched_down,long,rolling,research_only,False,regime_switching_research_only,bear,0.0062103952240816695,0.07638637705603779,unsupported,regime_switching_research_only,regime_switching_research_only,0.0072670608762246,0.0561461140625278,0,False,False
FUT/CL,1h,state_ext=stretched_up + state_vol=mid_vol,long,rolling,research_only,False,regime_switching_research_only,bull,0.005515616475047985,0.018123168392667255,regime_switching_research_only,unsupported,regime_switching_research_only,0.0037352585836444,0.1742380300706638,0,False,False
FUT/CL,1h,state_session=afternoon + state_ext=stretched_up,long,rolling,research_only,False,regime_switching_research_only,bull,0.004993428153791619,0.3037381996541175,regime_switching_research_only,unsupported,unsupported,-0.0009082793915811,0.580922264414196,0,False,False
FUT/CL,1h,state_session=lunch + state_slope=uptrend,long,rolling,research_only,False,regime_switching_research_only,bull,0.004162101724941964,0.38466714767103616,regime_switching_research_only,unsupported,regime_switching_research_only,-0.0003439681314393,0.9477967848483267,0,False,False
FUT/GC,1h,state_session=lunch + state_slope=flat,long,rolling,research_only,False,regime_switching_research_only,bear,0.004147995888088107,0.07295365481460903,unsupported,regime_switching_research_only,regime_switching_research_only,-0.0004952341304879,0.8586585687663588,100,False,False
FUT/CL,1h,state_ext=stretched_up + state_slope=uptrend,long,rolling,research_only,False,regime_switching_research_only,bull,0.003902587350974595,0.2137159983356729,regime_switching_research_only,unsupported,regime_switching_research_only,0.0006531791540697,0.6916654500995443,0,False,False
FUT/CL,1h,state_ext=stretched_down + state_vol=mid_vol,long,rolling,research_only,False,regime_switching_research_only,neutral,0.003767411399568557,0.3284725407508504,unsupported,regime_switching_research_only,regime_switching_research_only,0.0040627075262665,0.1645602107274197,0,False,False
FUT/NQ,1h,state_ext=stretched_down + state_vol=high_vol,long,rolling,research_only,False,regime_switching_research_only,bear,0.003303078083716989,0.003726245181705279,unsupported,regime_switching_research_only,unsupported,0.0003929670596278,0.8940096731733531,100,False,False
FUT/CL,1h,state_session=lunch + state_slope=downtrend,long,rolling,research_only,False,regime_switching_research_only,neutral,0.0031449686576803223,0.15484079108783066,unsupported,regime_switching_research_only,regime_switching_research_only,0.0038006214543782,0.251486961781836,0,False,False
FUT/CL,1h,state_ext=stretched_up + state_vol=high_vol,long,rolling,research_only,False,regime_switching_research_only,bull,0.003081955107796242,0.3799738358002258,regime_switching_research_only,unsupported,regime_switching_research_only,0.0002156500077582,0.8985409991657833,0,False,False
FUT/NQ,1h,state_session=morning + state_ext=stretched_down,long,rolling,research_only,False,regime_switching_research_only,bear,0.0030352648649926996,0.058220250564094744,unsupported,regime_switching_research_only,unsupported,-0.0021584539901382,0.4817281534331625,0,False,False
FUT/ES,1h,state_session=lunch + state_slope=uptrend,long,rolling,research_only,False,regime_switching_research_only,bear,0.002922654360987115,0.03748265891736624,unsupported,regime_switching_research_only,regime_switching_research_only,6.0910886576766914e-05,0.9030086662715892,0,False,False
FUT/NQ,1h,state_session=afternoon + state_ext=stretched_down,long,rolling,research_only,False,regime_switching_research_only,bear,0.0029064708575297278,0.006567771714742321,unsupported,regime_switching_research_only,unsupported,0.0027535017866534,0.0889742071696888,0,False,False
FUT/CL,1h,state_ext=stretched_down + state_slope=downtrend,long,rolling,research_only,False,regime_switching_research_only,bear,0.002896988959671958,0.09449609477020293,unsupported,regime_switching_research_only,regime_switching_research_only,0.0013121297946941,0.5066220641527439,0,False,False
FUT/NQ,1h,state_ext=stretched_down + state_slope=downtrend,long,rolling,research_only,False,regime_switching_research_only,bear,0.0028648189482146993,0.001945396596496396,unsupported,regime_switching_research_only,unsupported,1.7425934352233672e-05,0.9933201054722832,100,False,False
FUT/CL,1h,state_ext=stretched_down + state_vol=high_vol,long,rolling,research_only,False,regime_switching_research_only,bear,0.002831786559800859,0.16073733978921667,unsupported,regime_switching_research_only,regime_switching_research_only,0.0007722887651118,0.726903673585126,0,False,False
FUT/NQ,1h,state_ext=stretched_up + state_vol=high_vol,long,rolling,research_only,False,regime_switching_research_only,neutral,0.002688463904544032,0.0017559523990156034,regime_switching_research_only,unsupported,regime_switching_research_only,0.0027849261412292,0.0099730240301123,1,False,False
FUT/ES,1h,state_ext=stretched_down + state_slope=downtrend,long,rolling,research_only,False,regime_switching_research_only,bear,0.002673701979326378,0.03346720472504283,unsupported,regime_switching_research_only,unsupported,0.0046230258059831,0.0008685042650042,0,False,False
FUT/GC,1h,state_session=afternoon + state_ext=stretched_down,short,rolling,research_only,False,regime_switching_research_only,bear,0.0025898237259661355,0.49642079372901926,unsupported,regime_switching_research_only,regime_switching_research_only,-0.0036375086854839,0.0782403887349314,0,False,False
FUT/ES,1h,state_ext=stretched_down + state_vol=high_vol,long,rolling,research_only,False,regime_switching_research_only,bear,0.0025831324470399824,0.06603455885048959,unsupported,regime_switching_research_only,unsupported,0.0050495685818971,0.0062047786064522,0,False,False
FUT/GC,1h,state_session=afternoon + state_slope=uptrend,long,rolling,research_only,False,regime_switching_research_only,bear,0.0025130396209237247,0.2774230883289943,regime_switching_research_only,regime_switching_research_only,regime_switching_research_only,-0.0004150281361821,0.6376794085262918,1100,False,False
