symbol,timeframe,slice_combination,regime,regime_symbol,diagnostic_status,regime_window_rows,slice_n,slice_mean_ret_costadj,slice_win_rate,slice_t_stat_nw,slice_p_value_nw,slice_pass,baseline_mean_ret_costadj,excess_vs_baseline,best_parent_filter,best_parent_mean_ret_costadj,excess_vs_best_parent
FUT/NQ,1h,state_session=morning + state_slope=uptrend,all,FUT/NQ,ok,5893,990,-9.636705175222872e-05,0.5303030303030303,-0.27538907164733234,0.7830173391841833,False,-1.7378557460806864e-05,-7.898849429142185e-05,state_slope=uptrend,1.130520009971393e-05,-0.00010767225185194264
FUT/NQ,1h,state_session=morning + state_slope=uptrend,bull,FUT/NQ,ok,2024,507,-0.0002110009189066025,0.5128205128205128,-0.6047865658381982,0.5453208210194926,False,-9.819202428263283e-05,-0.00011280889462396968,state_slope=uptrend,-2.730930973465649e-05,-0.00018369160917194603
FUT/NQ,1h,state_session=morning + state_slope=uptrend,bear,FUT/NQ,ok,1238,61,0.0016078507991387717,0.5409836065573771,1.2146391432915167,0.22450375267963207,False,0.0005816640742732809,0.0010261867248654909,state_slope=uptrend,0.0014792414477072708,0.00012860935143150089
FUT/NQ,1h,state_session=morning + state_slope=uptrend,neutral,FUT/NQ,ok,2432,422,-0.00020498771112920403,0.5497630331753555,-0.3190744442005051,0.7496700621700627,False,-0.00028757273849347817,8.258502736427413e-05,state_slope=uptrend,-0.00018918652401844028,-1.5801187110763752e-05
FUT/NQ,1h,state_session=morning + state_slope=uptrend,regime_warmup,FUT/NQ,ok,199,0,,,,,False,0.0003799276085293036,,state_session=morning,0.00019133749914175874,
FUT/CL,1h,state_session=lunch + state_ext=stretched_up,all,FUT/CL,ok,5871,75,0.00874218695539335,0.56,1.7979157526947571,0.07219035940843366,False,0.00010470459540079984,0.00863748235999255,state_session=lunch,0.0024275524522718887,0.0063146345031214616
FUT/CL,1h,state_session=lunch + state_ext=stretched_up,bull,FUT/CL,ok,1779,41,0.012501237695268888,0.5121951219512195,1.572253800169266,0.11589170283219286,False,0.00024173881261352752,0.012259498882655361,state_ext=stretched_up,0.0032927849014667073,0.009208452793802181
FUT/CL,1h,state_session=lunch + state_ext=stretched_up,bear,FUT/CL,ok,1558,4,-0.012648463916477915,0.25,-1.2642749492926804,0.2061313576803978,False,-0.0005178433618280466,-0.012130620554649868,state_session=lunch,0.000958294810682803,-0.013606758727160717
FUT/CL,1h,state_session=lunch + state_ext=stretched_up,neutral,FUT/CL,ok,2335,30,0.0064569043938129496,0.6666666666666666,2.974877854898051,0.002931052304806281,True,0.0004275338559201373,0.006029370537892812,state_session=lunch,0.0035852470983634374,0.002871657295449512
FUT/CL,1h,state_session=lunch + state_ext=stretched_up,regime_warmup,FUT/CL,ok,199,0,,,,,False,-3.429278335071882e-05,,state_session=lunch,0.001367489274085627,
FUT/NQ,1h,state_session=afternoon + state_ext=stretched_up,all,FUT/NQ,ok,5893,41,0.0018451664363510736,0.6585365853658537,1.9495655253086328,0.051227925767594495,False,-1.7378557460806864e-05,0.0018625449938118805,state_ext=stretched_up,0.0017969781115399627,4.818832481111096e-05
FUT/NQ,1h,state_session=afternoon + state_ext=stretched_up,bull,FUT/NQ,ok,2024,6,0.003761700096904294,1.0,5.210660783148858,1.881692255345513e-07,False,-9.819202428263283e-05,0.0038598921211869266,state_ext=stretched_up,0.0008509373366112195,0.002910762760293074
FUT/NQ,1h,state_session=afternoon + state_ext=stretched_up,bear,FUT/NQ,ok,1238,0,,,,,False,0.0005816640742732809,,state_session=afternoon,0.00030866536547194455,
