row_key,symbol,timeframe,slice_combination,side,bin_mode,signal_ts_utc,signal_close_adj,captured_at_utc,exit_close_5b,fwd_ret_5b,tradeable_fwd_ret_5b,exit_close_20b,fwd_ret_20b,tradeable_fwd_ret_20b,partial_data
DOGE/USD|1d|rolling|cross_BTC/USD_state_ext=neutral + state_ext=stretched_down|2026-07-23 00:00:00+00:00,DOGE/USD,1d,cross_BTC/USD_state_ext=neutral + state_ext=stretched_down,short,rolling,2026-07-23 00:00:00+00:00,0.0691329985857009,2026-07-26T00:28:40.946097+00:00,,,,,,,True
DOGE/USD|1d|rolling|cross_BTC/USD_state_ext=neutral + state_ext=stretched_down|2026-07-24 00:00:00+00:00,DOGE/USD,1d,cross_BTC/USD_state_ext=neutral + state_ext=stretched_down,short,rolling,2026-07-24 00:00:00+00:00,0.0695210024714469,2026-07-26T00:29:19.128571+00:00,,,,,,,True
DOT/USD|1d|rolling|cross_ETH/USD_state_slope=uptrend + state_slope=flat|2026-07-17 00:00:00+00:00,DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,short,rolling,2026-07-17 00:00:00+00:00,0.8488960266113281,2026-07-26T00:27:17.917978+00:00,0.8341910243034363,-0.01732250104478883,0.01732250104478883,,,,True
DOT/USD|1d|rolling|cross_ETH/USD_state_slope=uptrend + state_slope=flat|2026-07-18 00:00:00+00:00,DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,short,rolling,2026-07-18 00:00:00+00:00,0.8359609842300415,2026-07-26T00:27:24.310070+00:00,0.815330982208252,-0.024678187631915316,0.024678187631915316,,,,True
DOT/USD|1d|rolling|cross_ETH/USD_state_slope=uptrend + state_slope=flat|2026-07-19 00:00:00+00:00,DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,short,rolling,2026-07-19 00:00:00+00:00,0.8182129859924316,2026-07-26T00:27:30.673029+00:00,0.8082870244979858,-0.012131268587000421,0.012131268587000421,,,,True
DOT/USD|1d|rolling|cross_ETH/USD_state_slope=uptrend + state_slope=flat|2026-07-20 00:00:00+00:00,DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,short,rolling,2026-07-20 00:00:00+00:00,0.8261420130729675,2026-07-26T00:27:37.035082+00:00,,,,,,,True
DOT/USD|1d|rolling|cross_ETH/USD_state_slope=uptrend + state_slope=flat|2026-07-21 00:00:00+00:00,DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,short,rolling,2026-07-21 00:00:00+00:00,0.8458160161972046,2026-07-26T00:28:02.768635+00:00,,,,,,,True
DOT/USD|1d|rolling|cross_ETH/USD_state_slope=uptrend + state_slope=flat|2026-07-22 00:00:00+00:00,DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,short,rolling,2026-07-22 00:00:00+00:00,0.8341910243034363,2026-07-26T00:28:28.229480+00:00,,,,,,,True
DOT/USD|1d|rolling|cross_ETH/USD_state_slope=uptrend + state_slope=flat|2026-07-23 00:00:00+00:00,DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,short,rolling,2026-07-23 00:00:00+00:00,0.815330982208252,2026-07-26T00:29:06.422115+00:00,,,,,,,True
DOT/USD|1d|rolling|cross_ETH/USD_state_slope=uptrend + state_slope=flat|2026-07-24 00:00:00+00:00,DOT/USD,1d,cross_ETH/USD_state_slope=uptrend + state_slope=flat,short,rolling,2026-07-24 00:00:00+00:00,0.8082870244979858,2026-07-26T00:29:44.572796+00:00,,,,,,,True
LTC/USD|1d|rolling|cross_BTC/USD_state_slope=flat + state_ext=stretched_up|2026-07-21 00:00:00+00:00,LTC/USD,1d,cross_BTC/USD_state_slope=flat + state_ext=stretched_up,short,rolling,2026-07-21 00:00:00+00:00,46.81590270996094,2026-07-26T00:27:49.773863+00:00,,,,,,,True
LTC/USD|1d|rolling|cross_BTC/USD_state_slope=flat + state_ext=stretched_up|2026-07-22 00:00:00+00:00,LTC/USD,1d,cross_BTC/USD_state_slope=flat + state_ext=stretched_up,short,rolling,2026-07-22 00:00:00+00:00,47.07095718383789,2026-07-26T00:28:15.487821+00:00,,,,,,,True
LTC/USD|1d|rolling|cross_BTC/USD_state_slope=flat + state_ext=stretched_up|2026-07-23 00:00:00+00:00,LTC/USD,1d,cross_BTC/USD_state_slope=flat + state_ext=stretched_up,short,rolling,2026-07-23 00:00:00+00:00,46.927825927734375,2026-07-26T00:28:53.690653+00:00,,,,,,,True
LTC/USD|1d|rolling|cross_BTC/USD_state_slope=flat + state_ext=stretched_up|2026-07-24 00:00:00+00:00,LTC/USD,1d,cross_BTC/USD_state_slope=flat + state_ext=stretched_up,short,rolling,2026-07-24 00:00:00+00:00,46.32560729980469,2026-07-26T00:29:31.867241+00:00,,,,,,,True
