action,reason,symbol,qty,slice_label,kind,timeframe,slice_combination,matched,tradable,side,current_state,bar_ts_utc,close_adj,suggested_qty,suggested_side,suggested_notional,risk_check,timestamp_utc,logged_at_utc,order_id,order_status,error,blocked_reasons,stable_filter,current_stable_state,bars_held,horizon_bars,r_multiple_suppressed_horizon,stop_price,r_per_share,r_dollars,atr,risk_group,regime_symbol,regime,regime_favourable,regime_close,regime_short_ma,regime_long_ma,sizing_mode,sizing_conviction,sizing_target_notional,sizing_atr,sizing_qty_notional,sizing_qty_risk,sizing_expected_cost_bps_rt,autonomous_fill_journaled,fill_price,stage,unrealized_r,bin_mode,limit_price
would_enter,dry_run,XLE,47.0,state_ext=stretched_down + state_slope=downtrend,entry_signal,1d,state_ext=stretched_down + state_slope=downtrend,True,True,long,"{'state_ext': 'stretched_down', 'state_slope': 'downtrend', 'state_vol': 'mid_vol', 'state_session': 'afternoon', 'state_dow': 'Mon', 'state_ret_1': 'ret_down', 'state_ret_3': 'ret_down', 'state_ret_5': 'ret_down', 'state_ret_10': 'ret_down', 'state_ret_20': 'ret_down', 'state_atr_ext': 'atr_down', 'state_vol_regime': 'vol_regime_low', 'state_trend_strength': 'strong_trend', 'state_gap': 'gap_down', 'state_range_pos': 'range_low'}",2026-06-30 00:00:00+00:00,53.11,47.0,buy,2496.17,"{'allowed': True, 'reasons': ['dry_run'], 'details': {}}",2026-07-03T19:52:59.305288+00:00,2026-07-03T19:52:59.466348+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enter,,XLE,9.0,state_ext=stretched_down + state_slope=downtrend,entry_signal,1d,state_ext=stretched_down + state_slope=downtrend,True,True,long,"{'state_ext': 'stretched_down', 'state_slope': 'downtrend', 'state_vol': 'mid_vol', 'state_session': 'afternoon', 'state_dow': 'Mon', 'state_ret_1': 'ret_down', 'state_ret_3': 'ret_down', 'state_ret_5': 'ret_down', 'state_ret_10': 'ret_down', 'state_ret_20': 'ret_down', 'state_atr_ext': 'atr_down', 'state_vol_regime': 'vol_regime_low', 'state_trend_strength': 'strong_trend', 'state_gap': 'gap_down', 'state_range_pos': 'range_low'}",2026-06-30 00:00:00+00:00,53.11,9.0,buy,477.99,"{'allowed': True, 'reasons': [], 'details': {'symbol': 'XLE', 'qty': 9, 'price': 53.11, 'side': 'long', 'notional': 477.99, 'open_position_count': 0, 'today_realized_pnl': 0.0}}",2026-07-03T20:04:50.464997+00:00,2026-07-03T20:04:51.652915+00:00,191bf042-f13a-4d61-b012-e895e6f3d055,accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,risk_gate,XLE,,,entry_signal,1d,state_ext=stretched_down + state_slope=downtrend,True,False,long,"{'state_ext': 'stretched_down', 'state_slope': 'downtrend', 'state_vol': 'mid_vol', 'state_session': 'afternoon', 'state_dow': 'Wed', 'state_ret_1': 'ret_flat', 'state_ret_3': 'ret_down', 'state_ret_5': 'ret_down', 'state_ret_10': 'ret_down', 'state_ret_20': 'ret_down', 'state_atr_ext': 'atr_down', 'state_vol_regime': 'vol_regime_low', 'state_trend_strength': 'strong_trend', 'state_gap': 'gap_flat', 'state_range_pos': 'range_mid'}",2026-07-02 00:00:00+00:00,53.22,9.0,buy,478.98,"{'allowed': False, 'reasons': ['cooldown active for XLE: 1356s since last entry < 86400s'], 'details': {'symbol': 'XLE', 'qty': 9, 'price': 53.22, 'side': 'long', 'notional': 478.98, 'open_position_count': 0, 'today_realized_pnl': 0.0}}",2026-07-03T20:27:28.071177+00:00,2026-07-03T20:27:28.148300+00:00,,,,cooldown active for XLE: 1356s since last entry < 86400s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
block,risk_gate,XLE,,,entry_signal,1d,state_ext=stretched_down + state_slope=downtrend,True,False,long,"{'state_ext': 'stretched_down', 'state_slope': 'downtrend', 'state_vol': 'mid_vol', 'state_session': 'afternoon', 'state_dow': 'Wed', 'state_ret_1': 'ret_flat', 'state_ret_3': 'ret_down', 'state_ret_5': 'ret_down', 'state_ret_10': 'ret_down', 'state_ret_20': 'ret_down', 'state_atr_ext': 'atr_down', 'state_vol_regime': 'vol_regime_low', 'state_trend_strength': 'strong_trend', 'state_gap': 'gap_flat', 'state_range_pos': 'range_mid'}",2026-07-02 00:00:00+00:00,53.22,9.0,buy,478.98,"{'allowed': False, 'reasons': ['cooldown active for XLE: 6807s since last entry < 86400s'], 'details': {'symbol': 'XLE', 'qty': 9, 'price': 53.22, 'side': 'long', 'notional': 478.98, 'open_position_count': 0, 'today_realized_pnl': 0.0}}",2026-07-03T21:58:18.428357+00:00,2026-07-03T21:58:18.504217+00:00,,,,cooldown active for XLE: 6807s since last entry < 86400s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
would_enter,dry_run,XLK,13.0,cross_USO_state_vol=mid_vol + state_ext=stretched_down,entry_signal,1h,cross_USO_state_vol=mid_vol + state_ext=stretched_down,True,True,long,"{'state_ext': 'stretched_down', 'state_slope': 'downtrend', 'state_vol': 'low_vol', 'state_session': 'afternoon', 'state_dow': 'Thu', 'state_ret_1': 'ret_flat', 'state_ret_3': 'ret_flat', 'state_ret_5': 'ret_down', 'state_ret_10': 'ret_down', 'state_ret_20': 'ret_down', 'state_atr_ext': 'atr_down', 'state_vol_regime': 'vol_regime_mid', 'state_trend_strength': 'strong_trend', 'state_gap': 'gap_flat', 'state_range_pos': 'range_high', 'cross_USO_state_vol': 'mid_vol'}",2026-07-02 19:00:00+00:00,180.5,13.0,buy,2346.5,"{'allowed': True, 'reasons': ['dry_run'], 'details': {}}",2026-07-05T17:02:11.755626+00:00,2026-07-05T17:02:12.479574+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
would_enter,dry_run,XOP,16.0,state_ext=stretched_down + state_slope=downtrend,entry_signal,1d,state_ext=stretched_down + state_slope=downtrend,True,True,long,"{'state_ext': 'stretched_down', 'state_slope': 'downtrend', 'state_vol': 'mid_vol', 'state_session': 'morning', 'state_dow': 'Thu', 'state_ret_1': 'ret_flat', 'state_ret_3': 'ret_flat', 'state_ret_5': 'ret_flat', 'state_ret_10': 'ret_flat', 'state_ret_20': 'ret_down', 'state_atr_ext': 'atr_down', 'state_vol_regime': 'vol_regime_low', 'state_trend_strength': 'strong_trend', 'state_gap': 'gap_flat', 'state_range_pos': 'range_mid'}",2026-07-02 04:00:00+00:00,154.72,16.0,buy,2475.52,"{'allowed': True, 'reasons': ['dry_run'], 'details': {}}",2026-07-05T17:02:12.145425+00:00,2026-07-05T17:02:12.499902+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
would_enter,dry_run,XOP,16.0,state_ext=stretched_down + state_slope=downtrend,entry_signal,1d,state_ext=stretched_down + state_slope=downtrend,True,True,long,"{'state_ext': 'stretched_down', 'state_slope': 'downtrend', 'state_vol': 'mid_vol', 'state_session': 'morning', 'state_dow': 'Thu', 'state_ret_1': 'ret_flat', 'state_ret_3': 'ret_flat', 'state_ret_5': 'ret_flat', 'state_ret_10': 'ret_flat', 'state_ret_20': 'ret_down', 'state_atr_ext': 'atr_down', 'state_vol_regime': 'vol_regime_low', 'state_trend_strength': 'strong_trend', 'state_gap': 'gap_flat', 'state_range_pos': 'range_mid'}",2026-07-02 04:00:00+00:00,154.72,16.0,buy,2475.52,"{'allowed': True, 'reasons': ['dry_run'], 'details': {}}",2026-07-05T17:10:22.886458+00:00,2026-07-05T17:10:28.619781+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
would_enter,dry_run,XLK,13.0,cross_USO_state_vol=mid_vol + state_ext=stretched_down,entry_signal,1h,cross_USO_state_vol=mid_vol + state_ext=stretched_down,True,True,long,"{'state_ext': 'stretched_down', 'state_slope': 'downtrend', 'state_vol': 'low_vol', 'state_session': 'afternoon', 'state_dow': 'Thu', 'state_ret_1': 'ret_flat', 'state_ret_3': 'ret_flat', 'state_ret_5': 'ret_down', 'state_ret_10': 'ret_down', 'state_ret_20': 'ret_down', 'state_atr_ext': 'atr_down', 'state_vol_regime': 'vol_regime_mid', 'state_trend_strength': 'strong_trend', 'state_gap': 'gap_flat', 'state_range_pos': 'range_high', 'cross_USO_state_vol': 'mid_vol'}",2026-07-02 19:00:00+00:00,180.5,13.0,buy,2346.5,"{'allowed': True, 'reasons': ['dry_run'], 'details': {}}",2026-07-05T17:10:28.460786+00:00,2026-07-05T17:10:28.638478+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enter,,XOP,16.0,state_ext=stretched_down + state_slope=downtrend,entry_signal,1d,state_ext=stretched_down + state_slope=downtrend,True,True,long,"{'state_ext': 'stretched_down', 'state_slope': 'downtrend', 'state_vol': 'mid_vol', 'state_session': 'morning', 'state_dow': 'Thu', 'state_ret_1': 'ret_flat', 'state_ret_3': 'ret_flat', 'state_ret_5': 'ret_flat', 'state_ret_10': 'ret_flat', 'state_ret_20': 'ret_down', 'state_atr_ext': 'atr_down', 'state_vol_regime': 'vol_regime_low', 'state_trend_strength': 'strong_trend', 'state_gap': 'gap_flat', 'state_range_pos': 'range_mid'}",2026-07-02 04:00:00+00:00,154.72,16.0,buy,2475.52,"{'allowed': True, 'reasons': [], 'details': {'symbol': 'XOP', 'qty': 16, 'price': 154.72, 'side': 'long', 'notional': 2475.52, 'open_position_count': 0, 'today_realized_pnl': 0.0}}",2026-07-05T17:10:34.862034+00:00,2026-07-05T17:10:42.546825+00:00,319b5f97-7519-4f37-ac52-99cee22d8c5e,accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enter,,XLK,13.0,cross_USO_state_vol=mid_vol + state_ext=stretched_down,entry_signal,1h,cross_USO_state_vol=mid_vol + state_ext=stretched_down,True,True,long,"{'state_ext': 'stretched_down', 'state_slope': 'downtrend', 'state_vol': 'low_vol', 'state_session': 'afternoon', 'state_dow': 'Thu', 'state_ret_1': 'ret_flat', 'state_ret_3': 'ret_flat', 'state_ret_5': 'ret_down', 'state_ret_10': 'ret_down', 'state_ret_20': 'ret_down', 'state_atr_ext': 'atr_down', 'state_vol_regime': 'vol_regime_mid', 'state_trend_strength': 'strong_trend', 'state_gap': 'gap_flat', 'state_range_pos': 'range_high', 'cross_USO_state_vol': 'mid_vol'}",2026-07-02 19:00:00+00:00,180.5,13.0,buy,2346.5,"{'allowed': True, 'reasons': [], 'details': {'symbol': 'XLK', 'qty': 13, 'price': 180.5, 'side': 'long', 'notional': 2346.5, 'open_position_count': 0, 'today_realized_pnl': 0.0}}",2026-07-05T17:10:41.213641+00:00,2026-07-05T17:10:43.769596+00:00,61931977-a2ad-4e1e-b801-b9858833b01b,accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
